"Block Service Report","","","","","","","","","","","","","","","","","","","","","","","",""
"Volume Name:  name,healthState,systemName,type,intrinsicResource,appType,tierName,wwn-col-id,exportStatus,usedCapacityPercent,provisionedSizeMiB,iops,throughput,protection,mode,replicationState,replicationRole,replicationRPO,replicationLastPeriods,replicationSyncStatus,replicationLastSyncTime,replicationConfigurationName","","","","","","","","","","","","","","","","","","","","","","","",""
"Report Name:  Volumes Inventory","","","","","","","","","","","","","","","","","","","","","","","",""
"Creation Time:  Tuesday, June 9th 2026, 12:05:20 PM EDT","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Resources:  6","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","Volume Count","Status","System","Type","VMware vVol","Workload","Storage Tier","WWN","Export Status","Capacity Utilization","Used Capacity (MiB)","Size (MiB)","Provisioned Size (MiB)","IOPS","Throughput (MiB/s)","Protection Level","Replication Type","Replication State","Role","RPO","RPO - Last 10 Periods","Sync Status","Last Sync Time","Replication Configuration"
"DevTest1","1","—","hai01p-mp","Volume Set","—","VMware ESXi","HPE Alletra Storage MP B10000","—","Exported","1.28%","3325869.92","260046848","8388608","—","—","Local Snapshots","None","—","—","—","—","—","—","—"
"Infrastructure1","1","—","hai01p-mp","Volume Set","—","VMware ESXi","HPE Alletra Storage MP B10000","—","Exported","0.91%","1184923.86","130023424","4194304","—","—","Local Snapshots","None","—","—","—","—","—","—","—"
"Infrastructure2","1","—","hai01p-mp","Volume Set","—","VMware ESXi","HPE Alletra Storage MP B10000","—","Exported","1.18%","3068696.52","260046848","8388608","—","—","Local Snapshots","None","—","—","—","—","—","—","—"
"Production1","1","—","hai01p-mp","Volume Set","—","VMware ESXi","HPE Alletra Storage MP B10000","—","Exported","0.88%","5720245.58","650117120","20971520","—","—","Local Snapshots","None","—","—","—","—","—","—","—"
"Production2","1","—","hai01p-mp","Volume Set","—","VMware ESXi","HPE Alletra Storage MP B10000","—","Exported","1.21%","8625151.97","715128832","23068672","—","—","Local Snapshots","None","—","—","—","—","—","—","—"
"Production11766438459878776943","30","—","hai01p-mp","Volume Set","—","other","HPE Alletra Storage MP B10000","—","Not Exported","0%","—","—","—","—","—","None","None","—","—","—","—","—","—","—"
